campaign_id,campaign_name,channel,start_date,end_date,budget,spend,impressions,clicks,conversions,revenue,ctr,cpc,cpa,roas
C001,Summer Sale 2023,Facebook,2023-06-01,2023-06-30,10000,9875.45,1250000,35000,1200,48000,0.028,0.282,8.23,4.86
C002,Summer Sale 2023,Google Ads,2023-06-01,2023-06-30,15000,14950.32,1800000,42000,1450,58000,0.023,0.356,10.31,3.88
C003,Summer Sale 2023,Instagram,2023-06-01,2023-06-30,8000,7950.21,980000,28500,950,38000,0.029,0.279,8.37,4.78
C004,Back to School 2023,Facebook,2023-08-01,2023-08-31,12000,11875.65,1350000,38000,1300,52000,0.028,0.312,9.13,4.38
C005,Back to School 2023,Google Ads,2023-08-01,2023-08-31,18000,17950.43,2100000,45000,1550,62000,0.021,0.399,11.58,3.45
C006,Back to School 2023,Instagram,2023-08-01,2023-08-31,9500,9450.32,1050000,32000,1050,42000,0.030,0.295,9.00,4.44
C007,Black Friday 2023,Facebook,2023-11-20,2023-11-30,20000,19875.87,2500000,75000,2500,100000,0.030,0.265,7.95,5.03
C008,Black Friday 2023,Google Ads,2023-11-20,2023-11-30,25000,24950.65,3000000,85000,2800,112000,0.028,0.294,8.91,4.49
C009,Black Friday 2023,Instagram,2023-11-20,2023-11-30,15000,14950.43,1800000,65000,2200,88000,0.036,0.230,6.80,5.89
C010,Holiday Sale 2023,Facebook,2023-12-01,2023-12-25,18000,17875.32,2200000,68000,2300,92000,0.031,0.263,7.77,5.15
C011,Holiday Sale 2023,Google Ads,2023-12-01,2023-12-25,22000,21950.76,2700000,72000,2400,96000,0.027,0.305,9.15,4.37
C012,Holiday Sale 2023,Instagram,2023-12-01,2023-12-25,14000,13950.54,1700000,58000,1900,76000,0.034,0.241,7.34,5.45
C013,New Year Promo 2024,Facebook,2024-01-01,2024-01-15,9000,8875.43,1100000,32000,1100,44000,0.029,0.277,8.07,4.96
C014,New Year Promo 2024,Google Ads,2024-01-01,2024-01-15,12000,11950.87,1400000,36000,1200,48000,0.026,0.332,9.96,4.02
C015,New Year Promo 2024,Instagram,2024-01-01,2024-01-15,7500,7450.32,900000,28000,950,38000,0.031,0.266,7.84,5.10
C016,Valentine's Day 2024,Facebook,2024-02-01,2024-02-14,8000,7875.65,950000,28000,950,38000,0.029,0.281,8.29,4.83
C017,Valentine's Day 2024,Google Ads,2024-02-01,2024-02-14,10000,9950.43,1200000,32000,1050,42000,0.027,0.311,9.48,4.22
C018,Valentine's Day 2024,Instagram,2024-02-01,2024-02-14,6500,6450.21,800000,24000,800,32000,0.030,0.269,8.06,4.96
C019,Spring Collection 2024,Facebook,2024-03-01,2024-03-31,11000,10875.32,1300000,36000,1200,48000,0.028,0.302,9.06,4.41
C020,Spring Collection 2024,Google Ads,2024-03-01,2024-03-31,16000,15950.76,1900000,42000,1400,56000,0.022,0.380,11.39,3.51
C021,Spring Collection 2024,Instagram,2024-03-01,2024-03-31,9000,8950.54,1050000,30000,1000,40000,0.029,0.298,8.95,4.47
C022,Easter Sale 2024,Facebook,2024-04-01,2024-04-15,7500,7375.21,900000,26000,850,34000,0.029,0.284,8.68,4.61
C023,Easter Sale 2024,Google Ads,2024-04-01,2024-04-15,9500,9450.65,1150000,30000,950,38000,0.026,0.315,9.95,4.02
C024,Easter Sale 2024,Instagram,2024-04-01,2024-04-15,6000,5950.32,750000,22000,700,28000,0.029,0.270,8.50,4.71 